Isolate_Id,Isolate_Name
EPI_ISL_18132403,A/Royal_Tern/Florida/USDA-005590-002/2022
EPI_ISL_18132407,A/Royal_Tern/Florida/USDA-005590-001/2022
EPI_ISL_18133266,A/Lesser_Scaup/Florida/USDA-005590-003/2022
EPI_ISL_19145172,A/Blue_Jay/NS/FAV-0122-1/2022
EPI_ISL_19145173,A/Great_Black-Backed_Gull/NB/FAV-0110-1/2022
EPI_ISL_19145174,A/Great_Black-Backed_Gull/NS/FAV-0115-1/2022
EPI_ISL_11628232,A/chicken/Maine/22-005443-001/2022
EPI_ISL_18133091,A/Backyard_bird/Maine/USDA-005443-001/2022
EPI_ISL_18133407,A/Brown_Pelican/North_Carolina/USDA-007917-001/2022
EPI_ISL_11628222,A/chicken/Delaware/22-005260-001/2022
EPI_ISL_11628223,A/chicken/Delaware/22-005260-002/2022
EPI_ISL_11628224,A/chicken/Delaware/22-005260-003/2022
EPI_ISL_11628235,A/turkey/Indiana/22-005696-001/2022
EPI_ISL_11628236,A/turkey/Indiana/22-005696-002/2022
EPI_ISL_11628237,A/turkey/Indiana/22-005696-003/2022
EPI_ISL_18132225,A/turkey/Indiana/USDA-005696-003/2022
EPI_ISL_18132228,A/turkey/Indiana/USDA-005696-002/2022
EPI_ISL_18132231,A/turkey/Indiana/USDA-005696-001/2022
EPI_ISL_18132441,A/chicken/Delaware/USDA-005260-001/2022
EPI_ISL_18132515,A/Sanderling/New_York/USDA-005646-001/2022
EPI_ISL_19145175,A/Common_Eider/NL/FAV-0114-4/2022
EPI_ISL_11628229,A/turkey/Michigan/22-005440-001/2022
EPI_ISL_11628230,A/chicken/Michigan/22-005440-002/2022
EPI_ISL_11628231,A/guinea_fowl/Michigan/22-005440-003/2022
EPI_ISL_11628233,A/pheasant/New_York/22-005647-001/2022
EPI_ISL_11628234,A/pheasant/New_York/22-005647-002/2022
EPI_ISL_15215277,A/bald_eagle/North_Carolina/W22-140/2022
EPI_ISL_18132167,A/Snow_Goose/Missouri/USDA-006328-011/2022
EPI_ISL_18132169,A/Snow_Goose/Missouri/USDA-006328-004/2022
EPI_ISL_18132260,A/Snow_Goose/Missouri/USDA-006328-032/2022
EPI_ISL_18132264,A/Snow_Goose/Missouri/USDA-006328-022/2022
EPI_ISL_18132268,A/Snow_Goose/Missouri/USDA-006328-015/2022
EPI_ISL_18132414,A/Ross's_Goose/Missouri/USDA-006328-019/2022
EPI_ISL_18133072,A/Backyard_bird/New_York/USDA-005647-002/2022
EPI_ISL_18133075,A/Backyard_bird/New_York/USDA-005647-001/2022
EPI_ISL_18133106,A/Backyard_bird/Michigan/USDA-005440-002/2022
EPI_ISL_18133114,A/Backyard_bird/Michigan/USDA-005440-001/2022
EPI_ISL_18133462,A/goose/New_Hampshire/USDA-006203-003/2022
EPI_ISL_18133465,A/goose/New_Hampshire/USDA-006203-002/2022
EPI_ISL_18133471,A/goose/New_Hampshire/USDA-006203-001/2022
EPI_ISL_19775384,A/Snowy_Owl/NB/FAV-0150-1/2022
EPI_ISL_18132256,A/Snow_Goose/Missouri/USDA-006805-001/2022
EPI_ISL_18132927,A/Bald_Eagle/Florida/USDA-007915-009/2022
EPI_ISL_18132945,A/Bald_Eagle/Florida/USDA-006020-001/2022
EPI_ISL_19145176,A/American_Crow/NB/FAV-0118-3/2022
EPI_ISL_19145177,A/Herring_Gull/NL/FAV-0114-2/2022
EPI_ISL_19145178,A/Snowy_Owl/PE/FAV-0121-1/2022
EPI_ISL_18132229,A/Snow_Goose/New_Hampshire/USDA-007420-001/2022
EPI_ISL_18133225,A/Lesser_Scaup/Georgia/USDA-006543-006/2022
EPI_ISL_18133228,A/Lesser_Scaup/Georgia/USDA-006543-005/2022
EPI_ISL_18133231,A/Lesser_Scaup/Georgia/USDA-006543-004/2022
EPI_ISL_18133234,A/Lesser_Scaup/Georgia/USDA-006543-002/2022
EPI_ISL_18133242,A/Lesser_Scaup/Georgia/USDA-006543-001/2022
EPI_ISL_18133258,A/Lesser_Scaup/Florida/USDA-006133-001/2022
EPI_ISL_18133525,A/Great_Horned_Owl/Florida/USDA-007915-007/2022
EPI_ISL_19145179,A/American_Crow/NB/FAV-0117-4/2022
EPI_ISL_18132944,A/Black_Vulture/Florida/USDA-007915-005/2022
EPI_ISL_18133296,A/Herring_Gull/Ohio/USDA-007187-001/2022
EPI_ISL_18133523,A/Great_Horned_Owl/Florida/USDA-007915-008/2022
EPI_ISL_19145180,A/American_Crow/NL/FAV-0114-3/2022
EPI_ISL_18133028,A/Bald_Eagle/South_Carolina/USDA-006218-002/2022
EPI_ISL_18133031,A/Bald_Eagle/South_Carolina/USDA-006218-001/2022
EPI_ISL_19145181,A/American_Crow/PE/FAV-0116-1/2022
EPI_ISL_16632466,A/american_crow/Massachusetts/22-006976-004/2022
EPI_ISL_18133437,A/Great_Blue_Heron/Florida/USDA-007915-004/2022
EPI_ISL_11628238,A/silkie_chicken/Iowa/22-006114-001/2022
EPI_ISL_11628239,A/chicken/Connecticut/22-006118-001/2022
EPI_ISL_11628240,A/turkey/Indiana/22-006259-001/2022
EPI_ISL_11628241,A/turkey/Indiana/22-006259-002/2022
EPI_ISL_15214839,A/bald_eagle/Florida/W22-153A/2022
EPI_ISL_18132222,A/turkey/Indiana/USDA-006259-001/2022
